school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Kwapukai Primary School,AD,Primary,Public,,,9.530196,12.009444,ADSNUM04,"Kwapukai Primary School, AD State, Nigeria",Unknown
Kanza Primary School,AD,Primary,Public,,,10.55545,13.389633,ADSMCH14,"Kanza Primary School, AD State, Nigeria",Open
Humra Primary School,AD,Primary,Public,,,10.018186,12.222019,ADSGMB02,"Humra Primary School, AD State, Nigeria",Open
Central Model Primary School,AD,Primary,Public,,,10.888646,13.630956,ADSMDG06,"Central Model Primary School, AD State, Nigeria",Unknown
Hutu Primary Shcool,AD,Primary,Public,,,9.995397,12.251006,ADSGMB02,"Hutu Primary Shcool, AD State, Nigeria",Unknown
Mbamba II Primary School,AD,Primary,Public,,,9.178171,12.540931,ADSYLA06,"Mbamba II Primary School, AD State, Nigeria",Open
Loh Primary School,AD,Primary,Public,,,9.500123,12.106305,ADSDSA04,"Loh Primary School, AD State, Nigeria",Open
Jabajaba Primary School,AD,Primary,Public,,,9.977392,13.226743,ADSMAH04,"Jabajaba Primary School, AD State, Nigeria",Unknown
Ibrahim Attah Memorial School,AD,Primary,Private,,,9.282318,12.46055,ADSYLN07,"Ibrahim Attah Memorial School, AD State, Nigeria",Unknown
Gban Primary School Gban,AD,Primary,Public,,,9.83096,12.267469,ADSSNG01,"Gban Primary School Gban, AD State, Nigeria",Unknown
Jallongo Tara Primary School,AD,Primary,Public,,,9.642025,13.14821,ADSMAH01,"Jallongo Tara Primary School, AD State, Nigeria",Unknown
Gangtaren Primary School,AD,Primary,Public,,,8.437543,11.65938,ADSTNG01,"Gangtaren Primary School, AD State, Nigeria",Open
Chika Primary School Chika,AD,Primary,Public,,,10.55234,13.38102,ADSMCH14,"Chika Primary School Chika, AD State, Nigeria",Unknown
Fawaire Primary School,AD,Primary,Public,,,9.46818,12.392133,ADSGRE03,"Fawaire Primary School, AD State, Nigeria",Open
Gudumiya Primary School,AD,Primary,Public,,,10.190196,12.790321,ADSHNG06,"Gudumiya Primary School, AD State, Nigeria",Unknown
Wom Bah Primary School,AD,Primary,Public,,,8.936844,12.339775,ADSFUR11,"Wom Bah Primary School, AD State, Nigeria",Unknown
Guyuk II Primary School,AD,Primary,Public,,,9.904464,11.945115,ADSGUY07,"Guyuk II Primary School, AD State, Nigeria",Unknown
Suzuwa Primary School,AD,Primary,Public,,,10.488957,13.349338,ADSMUB02,"Suzuwa Primary School, AD State, Nigeria",Open
Daksiri Tiding Primary School,AD,Primary,Public,,,10.132859,12.962836,ADSHNG02,"Daksiri Tiding Primary School, AD State, Nigeria",Open
Numan I Primary School,AD,Primary,Public,,,9.455586,12.020856,ADSNUM06,"Numan I Primary School, AD State, Nigeria",Unknown
Gundo Primary School,AD,Primary,Public,,,9.700052,12.02766,ADSSHG03,"Gundo Primary School, AD State, Nigeria",Open
Kolere Primary School,AD,Primary,Public,,,8.827724,12.170919,ADSJAD08,"Kolere Primary School, AD State, Nigeria",Open
Ambassador Dahiru A Waziri Nursry and Primary School,AD,Primary,Private,,,9.2120741,12.4778817,ADSYLA05,"Ambassador Dahiru A Waziri Nursry and Primary School, AD State, Nigeria",Unknown
Model Islamiya Primary School,AD,Primary,Private,,,8.757033,12.15144,ADSJAD02,"Model Islamiya Primary School, AD State, Nigeria",Unknown
Wuro Yumbe Primary School,AD,Primary,Public,,,9.132674,12.112769,ADSMWA09,"Wuro Yumbe Primary School, AD State, Nigeria",Unknown
Sili Tudu II Primary School,AD,Primary,Public,,,9.766731,11.865705,ADSGUY04,"Sili Tudu II Primary School, AD State, Nigeria",Open
Hamdalla Pramary School,AD,Primary,Public,,,9.310621,12.658832,ADSFUR07,"Hamdalla Pramary School, AD State, Nigeria",Unknown
Kodomun Primary School,AD,Primary,Public,,,9.458519,12.223026,ADSDSA03,"Kodomun Primary School, AD State, Nigeria",Open
Kunliro Primary School,AD,Primary,Public,,,9.460037,12.198679,ADSDSA03,"Kunliro Primary School, AD State, Nigeria",Open
Lokoro Primary School,AD,Primary,Public,,,9.856338,11.932763,ADSGUY09,"Lokoro Primary School, AD State, Nigeria",Open
St Patrick Primary,AD,Primary,Private,,,9.471747,12.03841,ADSDSA10,"St Patrick Primary, AD State, Nigeria",Unknown
Hozzycal Nursery and Primary School,AD,Primary,Private,,,9.535305,11.610129,ADSLMR09,"Hozzycal Nursery and Primary School, AD State, Nigeria",Unknown
Banjiram III Primary School,AD,Primary,Public,,,9.819442,11.982595,ADSGUY01,"Banjiram III Primary School, AD State, Nigeria",Open
Jifan Primary School,AD,Primary,Public,,,9.553121,12.270981,ADSSNG09,"Jifan Primary School, AD State, Nigeria",Open
